address,zipcode,bathrooms,bedrooms,dateposted,description,type,latitude,Area,longitude,price,built
20 W Saddlestone Grv NE,T3J0Z6,5.0,6.0,2022-12-20,"6-Bedrooms | 4.5-Bathrooms | 2492 SqFt Including Basement | Open Floor Plan | High Ceilings | Main & Basement Laundry | Basement Suite(Illegal) | Separate Entrance | Front Attached Double Garage. Welcome to this spacious 2018-built, 2-storey home with 2492 of developed square feet on the main, upper and basement levels. This home features large windows, high ceilings, an open floor plan, pot lighting and plenty of living space! Open the front door to the main level with a front living room. Further into the home is the open floor plan kitchen, dining and living room with plenty of natural light. The kitchen features white cabinets, stainless steel appliances, pendant lighting and a large centre island with barstool seating. The kitchen is partnered with a corner pantry with built-in wire shelving for easy dry goods storage. The dining room is spacious and ready for a dinner table to fit your whole family. The dining room has a door that leads to the large deck and yard. The living room has a gas fireplace on the TV ready wall. The main level is complete with a 2pc bathroom and hall laundry with a side-by-side front loading washer/dryer set. Upstairs holds 4 bedrooms, 3 bathrooms and hall closet storage. The primary bedroom is the largest on this level with a deep walk-in closet and a private 4pc ensuite with a soaking tub and standalone shower. The 2nd bedroom has a walk-in closet and another 4pc ensuite; this one with a tub/shower combo. The 2 remaining central bedrooms are a generous size, each with closet space. These share the main 4pc bathroom with a single vanity and a tub/shower storage. Downstairs is a basement suite(illegal) with separate exterior side entrance. The basement has a full 4pc bathroom and 2 bedrooms both with good sized closets. The main area of the lower level features an open floor plan that includes kitchen and rec room which is multi use as living and dining! The kitchen features an electric stove, hood fan, single basin sink and cabinets above and below. Laundry includes a stacked washer/dryer set off the rec room with built in shelving for linen storage. Outside is a large backyard with plenty of lawn to enjoy in the warm summer months! The front attached double garage and driveway allow for 4 vehicles to be parked at any time plus street parking is readily available too! Hurry and book a showing at this incredible property today!",SINGLE_FAMILY,51.125633,1798.0,-113.925575,709900,2018.0
10 S Brentwood Cmn NW #905,T2L2L6,1.0,2.0,2022-12-20,"Immaculate condition two bedrooms,  condo apartment in the desirable area in Brentwood---University City on the 9 th floor with Calgary downtown skyline views , Highlights of this unit -- brand new LVP flooring throughout, almost 9 ft ceiling, master bedroom has the blackout window covering, & update window covering in living room, newer washer, second bedroom is good sized, suitable for the desk & the bookshelves, open floor plan , wide window from ceiling to floor,  bright living room with southeast facing balcony, one underground title parking stall, and the storage locker just steps to the elevator.  Steps to Brentwood LRT station, bus stops,U of C, grocery stores, banks, fitness center ,restaurants, and more.  Close to all levels of schools, both hospitals ,easy access to Crowchild Trail,  & Downtown ... Excellent for investment or the first time buyer in this location.",APARTMENT,51.086967,505.0,-114.128296,282500,2015.0
219 N 90th Ave SE #84,T2J0A3,1.0,2.0,2022-12-20,"Welcome HOME to this charming END UNIT townhouse. Exactly what you're looking for, location, convenience and affordability. It's time for you to stop renting and have your own place to call home. This well cared for, clean end unit is centrally located in Acadia. Hardwood floors on main floor, Cozy living room, spacious kitchen with roomy dining area, lovely home with 2 bedrooms up, the master bedroom boasts enough room for a king sized bed ,another spacious bedroom and a 4 piece bathroom completes the upper floor . The partially finished basement is great for storage, a work out area or even a small work station. Private front yard and parking stall is right beside your unit. You can't beat this location - Acadia Rec Center and Osten & Victor Alberta Tennis Centre is just steps away, Shopping and MacLeod Tr is 2 blocks west and Bonaventure Park is right around the corner. Come take a look at this great affordable property!",TOWNHOUSE,50.972137,,-114.067085,249900,1970.0
1211 S Auburn Bay Cir SE,T3M1S6,3.0,2.0,2022-12-20,"Welcome home to ZEN at Auburn Bay! This upper 2 storey unit has an OPEN floor plan, large living room and back kitchen with upgrades such as GRANITE COUNTERTOPS and LAMINATE flooring. The main floor also has a 2 piece bath and extra storage space in the mechanical room. This double primary plan has HUGE bedrooms, each with their own en-suites and upper floor laundry. Store your extra belongings in your own attic space. Your private backyard is fenced and perfect for your furry companions. Park your car in the dedicated outside stall with plug in. Enjoy low condo fees on this over 1100 sq ft townhome while living in the convenient Auburn Bay with access to amenities like the Lake, YMCA, hospital and much more! Check out the Virtual Tour or book your private showing today!",TOWNHOUSE,50.884705,1144.0,-113.95303,335000,2012.0
993 N Citadel Dr NW,T3G3X4,3.0,6.0,2022-12-20,"Nice 1364 SQF walkout Bungalow with fully developed basement. 3 large bedrooms on main floor plus 3 bedrooms in the basement with total of 3 Full baths.  This large Bungalow features with Vaulted ceiling on main floor in Living room & dinning area that make it nicely bright and roomy. Laminated flooring throughout. Functional large kitchen layout with plenty of cabinet spaces and a breakfast nook with direct access to the large sunny south facing deck. With three very good sized bedrooms and two full bath to finish this level. The basement is fully finished with WALKOUT that features three more bedrooms, a second Living room with nice fireplace and another full  Bath and a laundry room.  This lovely home with over 2500 SQF of development areas is surely perfect for a large family. Close to all amenities and the bus stop is just one step away.  Move in ready at anytime.",SINGLE_FAMILY,51.140408,1364.0,-114.17234,589900,1994.0
1107 N Mayland Dr NE,T2E6C3,2.0,3.0,2022-12-19,"Welcome to this solid brick bungalow! Nicely landscaped with mature trees, stately weeping birch in the front and private, fenced Southwest facing backyard with brick pavers, firepit, exterior side storage shed and more! Detached single garage backs on well lit paved alley. Original oak hardwood floors; professionally refinished, ceramic tile and slate upstairs with luxury vinyl and brand new carpet in the basement. Freshly painted ceilings, walls and doors. Brand new kitchen appliances, all brand new windows, updated roof, furnace and water heater. Bright open floor plan, central vac, brand new kitchen floor vac + original laundry shoot to add to this home’s charm. Located in the desirable inner city neighbourhood of Mayland Heights, you can’t ask for a better location, 10 minutes to downtown core, walking distance to all amenities and several exceptional schools including fine art and French immersion schools. This fine home is in tip top condition, available for immediate possession and is priced to sell!",SINGLE_FAMILY,51.063763,1125.0,-114.00944,525000,1965.0
2138 E Country Hills Cir NW,T3K4Z3,4.0,4.0,2022-12-19,"Welcome Home! This 4-bedroom home with a fully developed basement may be right for you. The interior has had the ""once over” and it shows EXCELLENT! As you enter it looks new and it is finished in a pleasing gray paint finish with white trim that pops! The living room is a good-sized open space and features 3 large windows. The large kitchen features new counter tops, luxury vinyl flooring and (new or newer) stainless-steel appliances along with a good-sized dining area and access to the back deck. There is also a refinished pantry and 2-piece bath on the main level. The upper -level features brand new carpet and finishings with a master bedroom with good-sized closet and window. There are 2 more bedrooms and the main 4-piece bath. The basement level is fully finished and features a large bedroom 3-piece bath and a good-sized area suitable for recreation / home office, etc. There is also a laundry closet and a storage \ mechanical room. New hot water tank and furnace was serviced Nov 2022. Out back the yard is fully fenced and boasts a good-sized deck and parking.",SINGLE_FAMILY,51.145607,1186.0,-114.06599,439900,1998.0
14 S Harvest Rose Pl NE,T3K4P5,3.0,4.0,2022-12-19,"Great location for a great property. This home has been renovated into two separate suites and the secondary suite is registered with the City. Upper unit features 3 bedrooms, good sized primary bedroom with a 3 piece ensuite and the 2 other bedrooms share a 4 piece main. Good sized living room over looks the front of the property and has vaulted ceiling throughout the main level. Kitchen features corner dining area with built in bench seating. Lower suite was built in 2015 and is located located on the walk out level allowing for lots of light. This level features an open plan living area with a feature wall, spacious dining room and sleek white kitchen. down a few steps to the bedroom, 4 piece bathroom and great laundry room. This home is perfect for generational living or live up rent down situations. The lower level is currently rented to February 28, 2023 and tenant would be open to staying if you desired, lease details can be provided to those interested.",SINGLE_FAMILY,51.14215,,-114.061295,525000,1995.0
4612 W 84th St NW,T3B2R5,1.0,1.0,2022-12-19,"ATTENTION- Investors, Builders rare opportunity to own this RC2 lot is under construction best for its land value. Right now is in the foundation stage. Grading, pathways are already in place, BP, and DP are already approved, and right now waiting for concrete to be poured.  Bring your people and you can start working on the lot from day 1. Book your showings today.",SINGLE_FAMILY,51.092373,2700.0,-114.209335,529999,2022.0
828 N Prestwick Cir SE,T2Z4Y8,3.0,3.0,2022-12-19,"Fantastic family home located ideally located across the street from a large green space with playground and under a two block walk to the McKenzie Towne Elementary school. This home has a fantastic open floor plan perfect for day to day family life and entertaining.  The main floor has gorgeous hardwood floors running throughout your living room with gas fireplace, kitchen complete with stainless appliances and large island and dining area with patio door that leads out to your private south backyard.  Upstairs there are 3 large bedrooms.  The primary suite has a fantastic ensuite and large walk-in closet with built-ins.  The lower level has tons of potential for your future development.  Outside you will find a large deck area that allows you to take full advantage of the south sunlight as well as a great double car garage.  Public transit is just a few steps away and all of the amenities of McKenzie Towne are at your disposal.",SINGLE_FAMILY,50.925514,,-113.97236,535000,2005.0
